animeTitle	X²: Double X
animeType	Music
animeNumEpisode	1
releaseDate	1993-11-21 00:00:00
endDate	
animeNumMembers	
animeScore	6.48
animeUsers	1979
animeRank	
animePopularity	7203
animeDescription	"X2 is basically a short (two minutes and forty seconds long) prequel to the theatrical X film. It is a part of four music videos. 
The first three are merely stills of CLAMP's pre-1994 X artwork and live-action sequences, but the fourth is animated by Madhouse. Being the only music video that contains actual plot, the fourth video introduces some of the major characters and quickly lashes through the first few X manga (equivalent to X TV series episodes 1-3) which take place before the theatrical movie. 

(Source: ANN)"
animeRelated	['X/1999']
animeCharacters	['Shirou, Kamui', 'Monou, Fuuma', 'Hinoto', 'Sakurazuka, Seishirou', 'Arisugawa, Sorata', 'Kishu, Arashi', 'Kasumi, Karen', 'Monou, Kotori', 'Yatoji, Satsuki', 'Kuzuki, Kakyo']
animeVoices	[]
animeStaff	[['Rintaro', 'Director'], ['X Japan', 'Theme Song Performance'], ['Yoshiki', 'Theme Song Composition'], ['CLAMP', 'Original Creator']]
