animeTitle	Makai Tenshi Djibril
animeType	OVA
animeNumEpisode	4
releaseDate	2004-11-26 00:00:00
endDate	2005-06-24 00:00:00
animeNumMembers	8555
animeScore	6.45
animeUsers	3238
animeRank	
animePopularity	5643
animeDescription	One hot summer day, Naoto Kamino finally musters up the courage to reveal his true feelings for his crush, Manabe Rika. Unfortunately, at the same moment, a young boy named Asumo appears (though he refers to himself as the devil). He plots to kidnap Rika and will stop at nothing to obtain her - but Rika has a little secret of her own, she can transform and obtain magical powers during sex... 
animeRelated	['Makai Tenshi Djibril', 'Makai Tenshi Djibril: Episode 2']
animeCharacters	['Manabe, Rika', 'Loveriel', 'Jinno, Naoto', 'Misty Mei', 'Otonashi, Meimi']
animeVoices	['Tomonaga, Akane', 'Motoi, Emi', 'Yanase, Natsumi']
animeStaff	[['Kume, Issei', 'Script, Screenplay'], ['Front Wing', 'Original Creator'], ['Kuuchuu, Yousai', 'Original Character Design']]
