animeTitle	b'Seitokai Yakuindomo Movie 2'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.77
animeUsers	3657
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Seitokai Yakuindomo', b'Seitokai Yakuindomo Movie']
animeCharacters	[b'Amakusa, Shino', b'Hagimura, Suzu', b'Tsuda, Takatoshi', b'Shichijou, Aria', b'Hata, Ranko', b'Uomi, Chihiro', b'Mitsuba, Mutsumi', b'Yokoshima, Naruko', b'Tsuda, Kotomi', b'Dejima, Sayaka']
animeVoices	[b'\nHikasa, Youko\nJapanese\n', b'\nYahagi, Sayuri\nJapanese\n', b'\nAsanuma, Shintaro\nJapanese\n', b'\nSatou, Satomi\nJapanese\n', b'\nArai, Satomi\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nOmigawa, Chiaki\nJapanese\n', b'\nKobayashi, Yuu\nJapanese\n', b'\nShimoda, Asami\nJapanese\n', b'\nTamura, Mutsumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKanazawa, Hiromichi\n\nDirector, Screenplay\n\n', b'\nTanaka, Ryou\n\nSound Director\n\n', b'\nUjiie, Tozen\n\nOriginal Creator\n\n', b'\nNaitou, Ken\n\nArt Director\n\n']
