animeTitle	Kizuna
animeType	OVA
animeNumEpisode	2
releaseDate	1994-08-12 00:00:00
endDate	1995-09-29 00:00:00
animeNumMembers	
animeScore	6.24
animeUsers	4997
animeRank	
animePopularity	5204
animeDescription	"Young kendo prodigy Ranmaru Samejima captures the attention of Kei Enjoji, the illegitimate son of a yakuza boss. Kei, determined to form a bond with Ranmaru, cultivates a friendship built on trust and sacrifice, which soon turns into love. After saving Kei from a yakuza hit-and-run attack, Ranmaru is forced to give up kendo forever, and the two are left with only their faith in one another. Vowing to support each other far from the world of the yakuza, the two begin living together as a couple. 

However, when a mysterious figure from the pair's past returns in pursuit of Ranmaru, they are thrust back into the world they fought so hard to leave—and their love may not be strong enough to survive it.

[Written by MAL Rewrite]
"
animeRelated	['Kizuna', 'Kizuna: Koi no kara Sawagi']
animeCharacters	['Enjoji, Kei', 'Samejima, Ranmaru', 'Sagano, Kai', 'Araki, Masanori', 'Samejima, Yuki', 'Toshi']
animeVoices	['Fujiwara, Keiji', 'Okiayu, Ryoutarou', 'Horikawa, Ryo', 'Ootsuka, Akio', 'Hiramatsu, Akiko', 'Seki, Tomokazu']
animeStaff	[['Fujiyama, Fusanobu', 'Sound Director'], ['Kodaka, Kazuma', 'Original Creator'], ['Satou, Masafumi', 'Animation Check'], ['Maekawa, Takashi', 'Special Effects']]
