animeTitle	Major S2
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	8.22
animeUsers	40295
animeRank	
animePopularity	2189
animeDescription	"Gorou Honda has finally returned to Mifune East Junior High School, surprising his friends upon arrival. Now, Gorou is once again surrounded by those he holds closest, and he strives to continue playing and enjoying the game he loves most.

However, things do not go as planned, as Gorou is reminded of the harsh realities of baseball as he copes with an injury he sustained while playing baseball at Hitaka Little. Between new rivals, old friends, and mending broken relationships, Gorou must overcome challenges he has never faced before. 

His goal of attending elite baseball high school Kaido may not be far from his reach, but complicated circumstances may stop him in his tracks once again. How will he deal with the immense pressures of the game? And will he ever be able to find the type of baseball he loves most?

[Written by MAL Rewrite]"
animeRelated	['Major', 'Major S1', 'Major Movie: Yuujou no Winning Shot', 'Major S3']
animeCharacters	['Honda, Gorou', 'Satou, Toshiya', 'Shimizu, Kaoru', 'Mayumura, Ken', 'Hoshino, Momoko', 'Komori, Daisuke', 'Shigeno, Hideki', 'Kawase, Ryouko', 'Sawamura, Ryouta', 'Shigeno, Shingo']
animeVoices	['Morikubo, Shoutarou', 'Morita, Masakazu', 'Sasamoto, Yuuko', 'Yasumura, Makoto', 'Noda, Junko', 'Miyata, Kouki', 'Sakuya, Shunsuke', 'Endo, Kumiko', 'Nojima, Hirofumi']
animeStaff	[['Kasai, Kenichi', 'Director'], ['Yoshida, Reiko', 'Script'], ['Yoshioka, Takao', 'Script'], ['Nakamura, Yoshiko', 'Script']]
