animeTitle	Kagee Grimm Douwa
animeType	TV
animeNumEpisode	52
releaseDate	1980-01-01 00:00:00
endDate	1981-01-01 00:00:00
animeNumMembers	318
animeScore	
animeUsers	
animeRank	16495
animePopularity	14348
animeDescription	The 3rd arc of the Chiyotarou Kodomo Gekijou program that aired on TBS. Every episode is a different Brothers Grimm fairy tale told with shadow puppet animation.
animeRelated	['Kagee Mukashibanashi', 'Kagee Aesop Monogatari']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
