animeTitle	K-On!: Ura-On!
animeType	Special
animeNumEpisode	7
releaseDate	2009-07-29 00:00:00
endDate	2010-01-20 00:00:00
animeNumMembers	
animeScore	6.34
animeUsers	29828
animeRank	
animePopularity	2346
animeDescription	"The seven Blu-ray disc volumes of K-ON! have an extra short anime ""Ura-ON!"""
animeRelated	['K-On!', 'K-On!!: Ura-On!!']
animeCharacters	['Hirasawa, Yui', 'Akiyama, Mio', 'Nakano, Azusa', 'Kotobuki, Tsumugi', 'Tainaka, Ritsu', 'Hirasawa, Ui']
animeVoices	['Toyosaki, Aki', 'Hikasa, Youko', 'Taketatsu, Ayana', 'Kotobuki, Minako', 'Satou, Satomi', 'Yonezawa, Madoka']
animeStaff	[['Kakifly', 'Original Creator']]
