animeTitle	100% Pascal-sensei (TV)
animeType	TV
animeNumEpisode	36
releaseDate	
endDate	
animeNumMembers	
animeScore	5.67
animeUsers	673
animeRank	
animePopularity	8940
animeDescription	"The story centers around an elementary school teacher who is so stupid that he cannot even write his own name. He does whatever he likes in his classroom. Plus, by all appearances, he is not human.

(Source: ANN)"
animeRelated	['100% Pascal-sensei', '40 Shuunen Da yo!! CoroCoro All-Star Shougakkou']
animeCharacters	['Pascal-sensei', 'Chika', 'Hayakawa, Hayato', 'Tachibana, Hikaru', 'Ijuuin, Kirari', 'Kitano, Yuusuke', 'Iwata', 'Kanamori, Steve']
animeVoices	['Satou, Hana', 'Tomioka, Misako', 'Kodaira, Yuuki', 'Maruyama, Yuka', 'Mizuhashi, Kaori', 'Hamazoe, Shinya', 'Takeda, Kouji', 'Kobayashi, Daiki']
animeStaff	[['Satou, Masato', 'Episode Director, Storyboard'], ['Nagai, Yuuji', 'Original Creator']]
