animeTitle	Xi Yangyang Yu Hui Tailang: Xiha Chuang Shijie
animeType	TV
animeNumEpisode	60
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	18315
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Xi Yangyang Yu Hui Tailang: Yuanshi Shijie Lixian Ji', 'Xi Yangyang Yu Hui Tailang: Yangyang Xiao Zhentan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
