animeTitle	Moyashimon Returns
animeType	TV
animeNumEpisode	11
releaseDate	
endDate	
animeNumMembers	
animeScore	7.21
animeUsers	11675
animeRank	
animePopularity	3738
animeDescription	"In the second season the story continues exactly where it left off previously. Professor Itsuki's Fermentation Cellar and laboratory is ready for operation and with Sawaki Tadayasu's unique gift to see and communicate with microbes to help, Itsuki's motley group of students begin to process different fermented products like soy sauce and sake.

(Source: ANN)"
animeRelated	['Moyashimon', 'Wake Up']
animeCharacters	['Hasegawa, Haruka', 'Sawaki, Tadayasu', 'Itsuki, Keizou', 'Yuuki, Kei', 'Aspergillus oryzae', 'Mutou, Aoi', 'Oikawa, Hazuki', 'Aspergillus niger', 'Kawahama, Takuma', 'Corynebacterium diphtheriae']
animeVoices	['Ohara, Sayaka', 'Sakaguchi, Daisuke', 'Nishimura, Tomomichi', 'Saiga, Mitsuki', 'Touma, Yumi', 'Noto, Mamiko', 'Kanda, Akemi', 'Sugiyama, Noriaki']
animeStaff	[['Yano, Yuuichirou', 'Director'], ['Tomisawa, Nobuo', 'Episode Director'], ['Watanabe, Daisuke', 'Script'], ['ClariS', 'Theme Song Performance']]
