animeTitle	Blame! Prologue
animeType	OVA
animeNumEpisode	2
releaseDate	2007-09-07 00:00:00
endDate	
animeNumMembers	9300
animeScore	5.43
animeUsers	3845
animeRank	10590
animePopularity	5455
animeDescription	"Based on the manga Blame! by Nihei Tsutomu, serialised in Monthly Afternoon.

In a city that is said to have thousands of levels, making it impossible to tell the sky from the ground, the mysterious Killy wanders the bizarre and foreboding levels of this mega-structure, where the boundaries between machine and living organism have been obscured.

(Source: AniDB)
"
animeRelated	['Blame!']
animeCharacters	['Killy', 'Sanakan']
animeVoices	[]
animeStaff	[['Nihei, Tsutomu', 'Original Creator'], ['Kise, Kazuchika', 'Layout']]
