animeTitle	Ma Shen
animeType	ONA
animeNumEpisode	16
releaseDate	2016-06-28 00:00:00
endDate	2016-11-09 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	10087
animeDescription	Mahjong holds a major influence over the world. Mahjong masters are highly respected, and these players compete to become the leading player: the Mahjong King! Players from across the world come together to duel one another.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
