animeTitle	Gokuu no Daibouken
animeType	TV
animeNumEpisode	39
releaseDate	1967-01-07 00:00:00
endDate	1967-09-30 00:00:00
animeNumMembers	
animeScore	6.14
animeUsers	168
animeRank	
animePopularity	11879
animeDescription	"In this film, because of complaints from children that Goku is depicted as too much of an eager student, he is instead portrayed as a very naughty modern boy. It then received so many complaints from the PTA about its bad language that it was forced out of the show after all.

(Source: Official Site)"
animeRelated	['Boku no Son Gokuu', 'Gokuu no Daibouken Pilot']
animeCharacters	['Gokuu', 'Sagojou', 'Hakkai', 'Ryuuko']
animeVoices	['Ute, Kazuko', 'Aikawa, Kinya', 'Takiguchi, Junpei', 'Masuyama, Eiko']
animeStaff	[['Sugii, Gisaburou', 'Director'], ['Suzuki, Yoshio', 'Sound Director'], ['Dezaki, Osamu', 'Episode Director, Storyboard, Animation Director, Key Animation'], ['Hata, Masami', 'Episode Director']]
