animeTitle	Fight!!
animeType	OVA
animeNumEpisode	1
releaseDate	1993-06-18 00:00:00
endDate	
animeNumMembers	1195
animeScore	4.98
animeUsers	445
animeRank	11486
animePopularity	10680
animeDescription	Yonosuke Hikura appears to be an ordinary high school student. Yet he has inherited the important role of protecting the harmony between Heaven and Earth. With the help of the magical sword Chitentai, and Tsukinojo Inbe, he courageously battles the demons, sending them back to the Earth World, from which they have escaped. 
animeRelated	[]
animeCharacters	"['Inbe, Tsukinojo', 'Hikura, Yonosuke', 'Inbe, Yukinojo', 'Arare', 'Hikura, Father', 'Painter', 'Sakyo', ""Senior in Earth's World"", 'Ukyo']"
animeVoices	['Hayashibara, Megumi', 'Kusao, Takeshi', 'Hidaka, Noriko', 'Katsuki, Masako', 'Ootaki, Shinya', 'Sawa, Ritsuo', 'Matsumoto, Yasunori', 'Fujimoto, Yuzuru', 'Koyasu, Takehito']
animeStaff	[['Yasumura, Ryou', 'Director'], ['Kawai, Yuuko', 'Theme Song Performance'], ['Wada, Kaoru', 'Music'], ['Abe, Misao', 'Key Animation']]
