animeTitle	Junjou Romantica Special
animeType	Special
animeNumEpisode	1
releaseDate	2008-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	7.46
animeUsers	14556
animeRank	
animePopularity	3174
animeDescription	Voice actors comment various scenes from the anime.
animeRelated	['Junjou Romantica']
animeCharacters	['Usami, Akihiko', 'Takahashi, Misaki']
animeVoices	[]
animeStaff	[['Nakamura, Shungiku', 'Script'], ['MOKA☆', 'Music']]
