animeTitle	Kamichama Karin
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.23
animeUsers	19053
animeRank	
animePopularity	2588
animeDescription	"Thirteen-year-old Karin Hanazono feels like her life can't get any worse, Her parents died when she was younger, leaving her with an aunt who doesn't hesitate to call her stupid and useless over her poor grades. Her only friend, her cat named Shii-chan, passed away recently, leaving her completely alone. All she has left of her parents is a ring given to her by her mother, which she treasures dearly as the sole thing left of her past.

Kamichama Karin begins the moment her life takes a turn for the better, when she is approached by Himeka Kuujou, a cute girl who has also lost her parents, and Kazune Kuujou, her cousin who finds girls to be troublesome, both of whom are searching for a goddess. Her mother's memento ring shines brightly in their presence and fills her with its radiance, making her smarter, faster, and capable of granting wishes. It turns out that her ring allows her to become the very goddess they were looking for, and now that she has awakened that power, others will come after her for it…"
animeRelated	['Kamichama Karin']
animeCharacters	['Hanazono, Karin', 'Kuujou, Kazune', 'Kuujou, Himeka', 'Suzune', 'Nishikiori, Michiru', 'Shii-chan', 'Karasuma, Kirio', 'Kuga, Jin', 'Karasuma, Rika', 'Kazusa']
animeVoices	['Nakahara, Mai', 'Sawashiro, Miyuki', 'Shitaya, Noriko', 'Koyama, Kimiko', 'Ishida, Akira', 'Katou, Nanae', 'Asanuma, Shintaro', 'Suzuki, Tatsuhisa', 'Yoshizumi, Kozue', 'Miyazaki, Ui']
animeStaff	[['Annou, Takashi', 'Director'], ['Yanase, Yuuji', 'Episode Director, Storyboard'], ['Izumi, Akihiro', 'Episode Director, Storyboard'], ['Asami, Matsuo', 'Episode Director']]
