animeTitle	Shokupan Mimi
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.64
animeUsers	719
animeRank	
animePopularity	10123
animeDescription	The story is about the daily life of a piece of bread named Mimi, and some of her friends and family. Based on Shimamori Natsuko's Shokupan Mimi (White Bread Mimi) 4-panel manga.
animeRelated	['Shokupan Mimi Specials']
animeCharacters	['Puchitoma-chan', 'Hammy', 'Mimi', 'Bata-chan', 'Narrator', 'Pansome-kun']
animeVoices	['Tomioka, Misako', 'Miyazaki, Ui', 'Nogawa, Sakura', 'Gotou, Saori', 'Morishima, Shuuta', 'Hirayama, Emi']
animeStaff	[]
