animeTitle	One Punch Man: Road to Hero
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.71
animeUsers	157881
animeRank	
animePopularity	636
animeDescription	"Before Saitama became the man he is today, he trained and fought endlessly to become a hero. While every scuffle leaves his tracksuit uniform in tatters, he always has it mended for free thanks to his local tailor. One day, however, the tailor informs him that he must close up shop due to pressure from a local gang. Saitama decides to help him out—and gains something irreplaceable in the process.

[Written by MAL Rewrite]"
animeRelated	['One Punch Man']
animeCharacters	['Saitama', 'Genos', 'Deliquent B', 'Gofukuya', 'Landlady', 'Shady Goldfish', 'Deliquent A']
animeVoices	['Furukawa, Makoto', 'Ishikawa, Kaito', 'Hamazoe, Shinya', 'Cho', 'Mayama, Ako', 'Shimoyama, Yoshimitsu', 'Gotou, Hiroki']
animeStaff	[['Yamaoka, Minoru', 'Episode Director'], ['Suzuki, Tomohiro', 'Script'], ['Tachikawa, Yuzuru', 'Storyboard'], ['JAM Project', 'Theme Song Performance']]
