animeTitle	Shinano Mainichi Shinbun
animeType	Special
animeNumEpisode	1
releaseDate	2007-09-01 00:00:00
endDate	
animeNumMembers	2900
animeScore	5.48
animeUsers	1409
animeRank	10446
animePopularity	8473
animeDescription	A 15-second animated commercial for The Shinano Mainichi Shimbun newspaper in Nagano.
animeRelated	[]
animeCharacters	['Girl']
animeVoices	['Kondo, Yoshimi']
animeStaff	[['Shinkai, Makoto', 'Director, Background Art'], ['Tate, Takako', 'Theme Song Performance']]
