animeTitle	b'Haitai Nanafa'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	5.95
animeUsers	3124
animeRank	
animePopularity	
animeDescription	"b'Nanafa Kyan lives in Okinawa with her grandmother who runs the ""Kame Soba"" soba shop, her beautiful older sister Nao who is in high school, and her younger sister Kokona, who is in elementary school and has a strong ability to sense the supernatural.\n\nOne day, Nanafa witnesses a seal fall off of a Chinese banyan tree, and three spirits who live in that tree are unleashed. These spirits include Niina and Raana, who are ""jimunaa"" spirits. The third spirit is Iina, who is an incarnation of an Okinawan lion statue. As spirits start appearing one after another, the peaceful life of Nanafa and her family begins to change.\n\n(Source: ANN)'"
animeRelated	[b'Haitai Nanafa 2nd Season']
animeCharacters	[b'Kyan, Nanafa', b'Kyan, Kokona', b'Kyan, Nanao', b'Ojii', b'Iina', b'Rahna', b'Nina', b'Obaa', b'Stuart, Lucy Misaki', b'Miyazato, Yuina']
animeVoices	[b'\nMatsuda, Ruka\nJapanese\n', b'\nIgarashi, Hiromi\nJapanese\n', b'\nInoue, Nana\nJapanese\n', b'\nMatsuzaki, Rei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHirasawa, Hisayoshi\n\nProducer\n\n', b'\nKimura, Hiroshi\n\nDirector, Episode Director, Storyboard\n\n', b'\nNaya, Ryousuke\n\nSound Director\n\n', b'\nSueda, Yoshifumi\n\nEpisode Director, Storyboard\n\n']
