animeTitle	b'Aihime Megohime'
animeType	b'ONA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[]
animeCharacters	[b'Masamune']
animeVoices	[b'\nShimono, Hiro\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFukuda, Mitsuo\n\nDirector\n\n', b'\nYokota, Mamoru\n\nAnimation Director\n\n', b'\nKakoi, Hirotsugu\n\nArt Director\n\n']
