animeTitle	b'Shingetsutan Tsukihime'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.87
animeUsers	63411
animeRank	
animePopularity	
animeDescription	"b""Shiki Toono wakes up in a hospital ward with the ability to see invisible lines. These thin threads, which make up all matter in Shingetsutan, instantly destroy an object when severed. Shiki discovers that if he traces the lines of something, its destruction soon follows. While keeping his supernatural vision a secret, Shiki proceeds to live his sophomore life in peace. However, this peace is short-lived when Shiki encounters a mysterious woman with bright red eyes on his way back from school. Following a sudden psychotic lapse, he appears to kill the woman, and passes out shortly after. As if things couldn't get any worse, Shiki is assailed by a pair of demonic hounds the next day\xe2\x80\x94facing certain death, Shiki is saved by the timely arrival of the same woman from yesterday. She introduces herself as Arcueid Brunestud, a vampire princess. Deciding to team up, Shiki and Arcueid embark on a journey to uncover the truth behind their lineage and the recent string of murders around town.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Shingetsutan Tsukihime', b'Carnival Phantasm']
animeCharacters	[b'Brunestud, Arcueid', b'Toono, Shiki', b'Toono, Akiha', b'Ciel', b'Kohaku', b'Aozaki, Aoko', b'Hisui', b'Yumizuka, Satsuki', b'Chaos, Nrvnqsr', b'Roa Valdamjong, Michael']
animeVoices	[b'\nNabatame, Hitomi\nJapanese\n', b'\nSuzumura, Kenichi\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nOrikasa, Fumiko\nJapanese\n', b'\nUeda, Kana\nJapanese\n', b'\nKimura, Akiko\nJapanese\n', b'\nKakazu, Yumi\nJapanese\n', b'\nTanaka, Kaori\nJapanese\n', b'\nMiyake, Kenta\nJapanese\n', b'\nYoshino, Hiroyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSakurabi, Katsushi\n\nDirector\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nAbo, Takao\n\nEpisode Director, Storyboard, Key Animation, Assistant Director, Animation Director\n\n', b'\nAsami, Matsuo\n\nEpisode Director\n\n']
