animeTitle	Major 2nd
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.65
animeUsers	869
animeRank	
animePopularity	8790
animeDescription	A promotional video for the third compiled volume of the Major 2nd manga. A short version was uploaded December 9 2015, and a long version advertising the fifth volume was released on July 11 2016.
animeRelated	['Major 2nd', 'Major 2nd (TV)']
animeCharacters	['Shigeno, Daigo', 'Satou, Hikaru', 'Mayumura, Michiru']
animeVoices	['Tamura, Mutsumi', 'Uchida, Yuuma']
animeStaff	[]
