animeTitle	High School Agent
animeType	OVA
animeNumEpisode	2
releaseDate	1987-07-01 00:00:00
endDate	1987-10-02 00:00:00
animeNumMembers	1095
animeScore	5.4
animeUsers	357
animeRank	10656
animePopularity	10920
animeDescription	"Based on a manga by Tanimura Hitoshi, serialized in Comic Burger.

Teenager Kanemori Kousuke is a secret agent for the international VN spy network. Using his computer hacking skills, he tracks international criminals. Later he goes after Neo-Nazis to the Arctic were they try to raise a U-boat with a sinister secret.

(Source: The Anime Encyclopedia)"
animeRelated	['High School Agent']
animeCharacters	['Kanamori, Kosuke', 'Satonaka', 'Nina', 'Sarah']
animeVoices	['Yao, Kazuki', 'Mizutani, Yuuko', 'Toda, Keiko', 'Koyama, Mami']
animeStaff	[['Katou, Kazuo', 'Producer'], ['Hashimoto, Izou', 'Script'], ['Yoshida, Tooru', 'Planning'], ['Yamasawa, Minoru', 'Animation Director, Character Design']]
