animeTitle	b'Shoujo Senki Brain Jacker'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.77
animeUsers	1347
animeRank	
animePopularity	
animeDescription	"b'Based on the eroge ""Shoujo Senki Soul Eater"" by Lune.'"
animeRelated	[b'Shoujo Senki Soul Eater']
animeCharacters	[b'Kaifon, Lin']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nTominaga, Tsuneo\n\nEpisode Director, Storyboard\n\n', b'\nUshijima, Yuji\n\nAnimation Director, Character Design\n\n']
