animeTitle	Yonimo Osoroshii Grimm Douwa
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.05
animeUsers	204
animeRank	
animePopularity	10678
animeDescription	"The truth behind the well-known Grimm's Tales is cruel and full of blood and lust!

Episode 1: ""Hansel & Gretel"": Two brothers lost in the woods were actually criminals...

Episode 2: ""The Blue Beard"": The true character of the Blue Beard was a cannibal who was unable to tolerate his wife's adultery. 

Episode 3: ""Cinderella"": Actually Cinderella had abnormal affections toward the prince."
animeRelated	['Yonimo Osoroshii Nihon Mukashibanashi']
animeCharacters	['Cinderella']
animeVoices	[]
animeStaff	[['Masui, Souichi', 'Director'], ['Takaya, Hirotoshi', 'Director, Character Design'], ['Grimm, Jacob and Wilhelm', 'Original Creator']]
