animeTitle	Wonderful Rush
animeType	Music
animeNumEpisode	1
releaseDate	2012-09-05 00:00:00
endDate	
animeNumMembers	12688
animeScore	7.31
animeUsers	6846
animeRank	2356
animePopularity	4816
animeDescription	Music video bundled with the fifth single of the anime-idol group μ's.
animeRelated	"['Bokura no Live Kimi to no Life', 'Snow Halation', 'Natsu-iro Egao de 1, 2, Jump!', 'Mogyutto ""Love"" de Sekkinchuu!', 'Music S.T.A.R.T!!', 'Love Live! School Idol Project']"
animeCharacters	['Nishikino, Maki', 'Yazawa, Niko', 'Toujou, Nozomi', 'Minami, Kotori', 'Sonoda, Umi', 'Kousaka, Honoka', 'Hoshizora, Rin', 'Ayase, Eri', 'Koizumi, Hanayo']
animeVoices	['Pile', 'Tokui, Sora', 'Kusuda, Aina', 'Uchida, Aya', 'Mimori, Suzuko', 'Nitta, Emi', 'Iida, Riho', 'Nanjou, Yoshino', 'Kubo, Yurika']
animeStaff	[['Kyougoku, Takahiko', 'Director, Episode Director, Storyboard'], ['Mimori, Suzuko', 'Theme Song Performance'], ['Nanjou, Yoshino', 'Theme Song Performance'], ['Pile', 'Theme Song Performance']]
