animeTitle	Soukou Kihei Votoms: Big Battle
animeType	OVA
animeNumEpisode	1
releaseDate	1986-07-05 00:00:00
endDate	
animeNumMembers	
animeScore	6.73
animeUsers	1414
animeRank	
animePopularity	8348
animeDescription	Big Battle is a one-shot OVA set after the climax of the original Votoms storyline, but before the epilogue at the end of the series itself. With the Gilgamesh and Balarant forces still trying to advance their PS programs, Chirico and his old friends are forced into one last gladiatorial battle against a special PS and a formidable land battleship.
animeRelated	['Soukou Kihei Votoms']
animeCharacters	['Cuvie, Chirico', 'Niva, Radaa', 'Fyana', 'Rochina, Jean Paul', 'Vartla, Vanilla', 'Vartla, Coconna', 'Gotho, Bouleuse', 'Cherokee', 'Shako, Ru']
animeVoices	['Gouda, Hozumi', 'Yanaga, Kazuko', 'Ginga, Banjou', 'Chiba, Shigeru', 'Kawanami, Yoko', 'Tomita, Kousei', 'Masamune, Issei']
animeStaff	[['Takahashi, Ryousuke', 'Director'], ['Urakami, Yasuo', 'Sound Director'], ['Takizawa, Toshifumi', 'Episode Director, Storyboard'], ['Inui, Hiroki', 'Theme Song Arrangement, Theme Song Composition, Music']]
