animeTitle	Tantei Opera Milky Holmes: Fun Fun Party Night♪ - Ken to Janet no Okurimono
animeType	Special
animeNumEpisode	1
releaseDate	2016-12-31 00:00:00
endDate	
animeNumMembers	2034
animeScore	6.74
animeUsers	593
animeRank	4919
animePopularity	9395
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Tantei Opera Milky Holmes']
animeCharacters	['Shellingford, Sherlock', 'Burton, Hercule', 'Glauca, Cordelia', 'Yuzurizaki, Nero', 'Akechi, Kokoro', 'Nijuuri, Kai', 'Tooyama, Saku', 'Mystere, Henriette', 'Nezu, Jirou', 'Myoujingawa, Alice']
animeVoices	['Mimori, Suzuko', 'Sasaki, Mikoi', 'Kitta, Izumi', 'Tokui, Sora', 'Nanjou, Yoshino', 'Kishio, Daisuke', 'Tamura, Yukari', 'Akesaka, Satomi', 'Shimono, Hiro']
animeStaff	[['Sakurai, Hiroaki', 'Director'], ['Numata, Seiya', 'Character Design'], ['Kidani, Takaaki', 'Original Creator'], ['Suzuki, Takanori', 'Key Animation']]
