animeTitle	Panzer Dragoon
animeType	OVA
animeNumEpisode	1
releaseDate	1996-10-25 00:00:00
endDate	
animeNumMembers	
animeScore	3.25
animeUsers	1362
animeRank	
animePopularity	8746
animeDescription	"Legends speak of a Dark Tower with a race of dragons that awaits the command to arise and wreak havoc. At least Kyle used to believe they were only legends until his lady, Alita, is stolen by the Black Dragon! 

Now Kyle must form an alliance with Blau, a blue dragon, in order to rescue her before she becomes the catalyst for the Dark Tower's final program: the complete destruction of the world!

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Kyle', 'Alita']
animeVoices	['Onosaka, Masaya', 'Shiratori, Yuri']
animeStaff	[['Ishikawa, Mitsuhisa', 'Producer'], ['Takagi, Shinji', 'Director'], ['Horikawa, Kenji', 'Production Manager'], ['Kuroda, Yousuke', 'Screenplay']]
