animeTitle	b'Senki Zesshou Symphogear AXZ'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.6
animeUsers	12584
animeRank	
animePopularity	
animeDescription	"b""Hibiki Tachibana has defeated many powerful enemies, saved countless innocent lives, and escaped from numerous desperate situations, but she is currently finding herself unable to escape from her most desperate situation yet\xe2\x80\x94summer homework!  Although her high school life is relatively unremarkable, her career as a member of the military organization S.O.N.G. is anything but. Using powerful, ancient armor known as Symphogear, Hibiki and her teammates work with the United Nations to deal with international disputes and disasters.  \n\nDuring a mission briefing at headquarters, Hibiki is made aware of a mysterious organization known as the Bavarian Illuminati, who has been responsible for several major disasters in the past and currently operate in the war-torn country Val Verde. Together, Hibiki and her team infiltrate one of the Bavarian Illuminati's manufacturing plants and free hundreds of slaves. Exposed, alchemists Saint-Germain, Cagliostro, and Prelati reveal themselves as the organization's top brass, and\xe2\x80\x94using alchemical powers\xe2\x80\x94declare a global revolution while sacrificing thousands of lives. Faced with yet another threat to the world's survival, Hibiki and her allies must confront the Bavarian Illuminati in their most difficult and destructive battle yet.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Senki Zesshou Symphogear GX', b'Senki Zesshou Symphogear XV', b'Senki Zesshou Symphogear AXZ: Senki Zesshou Shinai Symphogear']
animeCharacters	[b'Yukine, Chris', b'Tachibana, Hibiki', b'Kazanari, Tsubasa', b'Akatsuki, Kirika', b'Cadenzavna Eve, Maria', b'Tsukuyomi, Shirabe', b'Kohinata, Miku', b'Kazanari, Genjuurou', b'Vercingetorix, John Wayne', b'Elfnein']
animeVoices	[b'\nTakagaki, Ayahi\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n', b'\nMizuki, Nana\nJapanese\n', b'\nKayano, Ai\nJapanese\n', b'\nHikasa, Youko\nJapanese\n', b'\nNanjou, Yoshino\nJapanese\n', b'\nIguchi, Yuka\nJapanese\n', b'\nIshikawa, Hideo\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n', b'\nKuno, Misaki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOno, Katsumi\n\nDirector\n\n', b'\nMotoyama, Satoshi\n\nSound Director\n\n', b'\nIshikawa, Shunsuke\n\nEpisode Director, Storyboard\n\n', b'\nKaneko, Akifumi\n\nScript, Series Composition, Original Creator\n\n']
