animeTitle	Sakigake!! Otokojuku Movie
animeType	Movie
animeNumEpisode	1
releaseDate	1988-07-23 00:00:00
endDate	
animeNumMembers	
animeScore	6.66
animeUsers	840
animeRank	
animePopularity	9196
animeDescription	"Otokojuku, a private school for juvenile delinquents that were previously expelled from normal schools. At this school, Japanese chivalry is taught through the feudal and military fundamentals. Similar to an action film, the classes are overwhelmed by violence. Only those who survive it become true men.
(Source: Animenfo)"
animeRelated	['Sakigake!! Otokojuku']
animeCharacters	['Tsurugi, Momotarou', 'Togashi, Genji', 'J', 'Toramaru, Ryuji', 'Edajima, Heihachi']
animeVoices	['Hori, Hideyuki', 'Ginga, Banjou', 'Yara, Yuusaku', 'Gouri, Daisuke']
animeStaff	[['Miyashita, Akira', 'Original Creator'], ['Nitta, Ichirou', 'Music'], ['Ito, Michihiro', 'Sound Effects']]
