animeTitle	b'Interlude'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.44
animeUsers	4539
animeRank	
animePopularity	
animeDescription	b'The unnamed main character has been having strange dreams, seeing strange things, and meeting strange people. He investigates these events and finds a strange girl named Aya. With her help, he discovers that his world may not in fact be real and many of the people he thinks he knows may not exist anymore.\n\n(Source: FUNimation)'
animeRelated	[]
animeCharacters	"[b'Watsuji, Aya', b'Tamaki, Maiko', b'Saegusa, Mutsuki', b'Fuyuki, Akio', b'Fuyuki, Ikuo', b'Marufuji, Izumi', b'General', b'Buta', b""Aya's Mother"", b'Saegusa, Miyako']"
animeVoices	[b'\nKuwashima, Houko\nJapanese\n', b'\nTamura, Yukari\nJapanese\n', b'\nOotani, Ikue\nJapanese\n', b'\nMorita, Masakazu\nJapanese\n', b'\nGouda, Hozumi\nJapanese\n', b'\nKingetsu, Mami\nJapanese\n', b'\nEgawa, Hisao\nJapanese\n', b'\nNagasako, Takashi\nJapanese\n', b'\nOhmoto, Makiko\nJapanese\n', b'\nWatanabe, Misa\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShibata, Hiroaki\n\nProducer\n\n', b'\nNagamine, Tatsuya\n\nDirector\n\n', b'\nHosoda, Masahiro\n\nDirector\n\n', b'\nOmode, Akemi\n\nScript\n\n']
