animeTitle	Tele◯Potion
animeType	Music
animeNumEpisode	1
releaseDate	2014-02-14 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17035
animeDescription	"Music video directed by Ryo Hirano for the title track of Tavito Nanao's twelfth single TELE◯POTION. This movie edit version of the song was featured in the 2014 film adaptation of Hiromi Kawakami's romance novel ""Nishino Yukihiko no koi to bouken""."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
