animeTitle	b'Chibi Revenger'
animeType	b'ONA'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.31
animeUsers	2586
animeRank	
animePopularity	
animeDescription	"b""Mini anime for Tokyo Revengers released on anime's official YouTube channel."""
animeRelated	[b'Tokyo Revengers']
animeCharacters	[b'Sano, Manjirou', b'Ryuuguuji, Ken', b'Hanagaki, Takemichi', b'Sendou, Atsushi', b'Yamagishi, Kazushi', b'Yamamoto, Takuya', b'Suzuki, Makoto', b'Baji, Keisuke', b'Tachibana, Hinata', b'Hayashi, Ryouhei']
animeVoices	[b'\nTerashima, Takuma\nJapanese\n', b'\nWaki, Azumi\nJapanese\n']
animeStaff	[]
