animeTitle	Kanokon Specials
animeType	Special
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.42
animeUsers	13396
animeRank	
animePopularity	3291
animeDescription	Uncensored 2-minute DVD Specials of Kanokon.
animeRelated	['Kanokon']
animeCharacters	['Minamoto, Chizuru', 'Ezomori, Nozomu', 'Oyamada, Kouta', 'Nanao, Ren', 'Nanao, Ai', 'Yukihana', 'Tamamo', 'Asahina, Akane', 'Sasamori, Yuki', 'Takana, Kiriko']
animeVoices	['Kawasumi, Ayako', 'Takeuchi, Miyu', 'Noto, Mamiko', 'Kadowaki, Mai', 'Nakanishi, Tamaki', 'Shindo, Naomi', 'Saitou, Chiwa', 'Seto, Saori', 'Miyazaki, Ui']
animeStaff	[['Takami, Akio', 'Character Design'], ['Koin', 'Original Character Design'], ['Nishino, Katsumi', 'Original Creator']]
