animeTitle	Shine Post
animeType	TV
animeNumEpisode	Unknown
releaseDate	2022-07-01 00:00:00
endDate	
animeNumMembers	104
animeScore	
animeUsers	
animeRank	
animePopularity	19103
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Shine Post Nee shitteta? Watashi o Zettai Aidoru ni Suru Tame no, Goku Futsuude Atarimaena, to Bikkiri no Mahou']
animeCharacters	['Itou, Momiji', 'Gionji, Yukine', 'Seibu, Rio', 'Tamaki, Kyouka', 'Nabatame, Haru']
animeVoices	['Nakagawa, Rika', 'Hasegawa, Rimo', 'Natsuyoshi, Yuuko', 'Kanisawa, Moeko', 'Suzushiro, Sayumi']
animeStaff	[['Kisara, Youhei', 'Producer'], ['Oikawa, Kei', 'Director'], ['Rakuda', 'Script, Original Creator'], ['Higuchi, Tatsuto', 'Script']]
