animeTitle	b'Hinadori no Saezuri'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.52
animeUsers	372
animeRank	
animePopularity	
animeDescription	"b'Dred Burton was a railroad tycoon who lived in a mansion with many maids who were used to ""serve"" the guests of the house. Now he\'s dead, but there\'s a new boss in town and she\'s just as bad as he was. The maids are being forced into even more bizarre and debaucherous situations than ever before. How far will things go? When will the pleasurable tortures end?'"
animeRelated	[b'Kara no Naka no Kotori']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
