animeTitle	Reijoku no Yakata
animeType	OVA
animeNumEpisode	2
releaseDate	2010-01-15 00:00:00
endDate	2010-04-09 00:00:00
animeNumMembers	3434
animeScore	6.05
animeUsers	1003
animeRank	
animePopularity	8040
animeDescription	Based on a game by CLOCKUP.
animeRelated	[]
animeCharacters	['Daichi, Shun', 'Jounouchi, Tsubame', 'Jounouchi, Rei', 'Jounouchi, Shizuru', 'Kagami, Tomoe', 'Jounouchi, Hina', 'Jounouchi, Tsugumi']
animeVoices	[]
animeStaff	[['Yoshida, Tomohiro', 'Sound Director'], ['CLOCKUP', 'Original Creator'], ['Tsubone, Kentarou', 'Editing']]
