animeTitle	Petit Petit Muse
animeType	TV
animeNumEpisode	26
releaseDate	2008-01-27 00:00:00
endDate	2008-07-26 00:00:00
animeNumMembers	341
animeScore	
animeUsers	
animeRank	12756
animePopularity	14110
animeDescription	Two twins, Ara and Ari, aspire into the world of fashion. Ara wants to become a fashion model, while her sister, Ari, wants to become a fashion designer. They meet a man named Yorang, who is the fashion designer in Heaven.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
