animeTitle	Tentai Senshi Sunred 2nd Season
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.87
animeUsers	3143
animeRank	
animePopularity	6056
animeDescription	The second season of Tentai Senshi Sunred.
animeRelated	['Tentai Senshi Sunred', 'Kawasaki Frontale x Tentai Senshi Sunred 2nd Season']
animeCharacters	['General Vamp', 'Sunred', 'Uchida, Kayoko', 'Mukiebi', 'Ceiling', 'Usacots', 'Hellwolf', 'P-chan Kai', 'General Hengel', 'Tiser']
animeVoices	['Yamada, Louis LIII', 'Takagi, Shun', 'Nabei, Makiko', 'Kasai, Tomomi', 'Mamiya, Kurumi', 'Aoki, Sayaka', 'Kakihara, Tetsuya', 'Shibata, Hidekatsu', 'Ono, Atsushi']
animeStaff	[['Kishi, Seiji', 'Director'], ['Iida, Satoki', 'Sound Director'], ['Nishouji, Yoshihito', 'Episode Director, Storyboard, Assistant Director'], ['Yanase, Yuuji', 'Storyboard']]
