animeTitle	b'Rokumon Tengai Mon Colle Knights'
animeType	b'TV'
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.46
animeUsers	1416
animeRank	
animePopularity	
animeDescription	b'Two mad scientists, Professor Hiiragi and Count Collection, simultaneously manage to open a dream hole to an alternate world where myths are real, the Sixgate world. Professor Hiiragi recruits his daughter Rokuna and her friend Mondo to be the Mon Colle Knights and help him in obtaining six magical items before Count Collection does. These items which can alter the barriers of dimensions when combined, allowing them to be used to either peacefully have the magic of the Sixgate world cross over in the human world, take over the minds of all monsters, or worse, reformat reality.\n\nWhile this entry only has details based on the Japanese version, it also includes the version aired on Jetix.'
animeRelated	[b'Rokumon Tengai Mon Colle Knight', b'Rokumon Tengai Mon Colle Knights Movie: Densetsu no Fire Dragon']
animeCharacters	[b'Ooya, Mondo', b'Guuko', b'Hiiragi, Rokuna', b'Bacchi', b'Hiiragi, Ichiroubei', b'Meinstein Collection, Ludwig Presto von', b'Reda', b'Begina', b'Hanazono No Utahime', b'Wave Carrying Angel']
animeVoices	[b'\nSaeki, Tomo\nJapanese\n', b'\nImai, Yuka\nJapanese\n', b'\nHorie, Yui\nJapanese\n', b'\nHikami, Kyouko\nJapanese\n', b'\nChiba, Shigeru\nJapanese\n', b'\nInoue, Kazuhiko\nJapanese\n', b'\nKoyasu, Takehito\nJapanese\n', b'\nKanai, Mika\nJapanese\n', b'\nKakazu, Yumi\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAkahori, Satoru\n\nScript\n\n', b'\nWyner, Tom\n\nScript\n\n', b'\nYonekura, Chihiro\n\nTheme Song Performance\n\n', b'\nSakamoto, Hiroshi\n\nTheme Song Arrangement, Theme Song Composition, Music\n\n']
