animeTitle	Dousou Kai
animeType	OVA
animeNumEpisode	4
releaseDate	1998-03-27 00:00:00
endDate	1998-12-18 00:00:00
animeNumMembers	2004
animeScore	5.7
animeUsers	599
animeRank	
animePopularity	9435
animeDescription	"A young group of friends meet up for the first time in a very long time after finishing high-school. One of them remembers how once ago a girl left him Daisies and a love letter inside his locker, back in the high-school days. He has three suspects of who this secret lover could be and so there is only one way to know... by having sex with all of them.

(Source: AniDB)"
animeRelated	['Dousou Kai Again']
animeCharacters	['Aoki, Momoko']
animeVoices	[]
animeStaff	[['Ooshiro, Tsutomu', 'Key Animation'], ['Tokiwa, Shouji', 'Art Director']]
