animeTitle	Yondemasu yo, Azazel-san. Z
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.56
animeUsers	18212
animeRank	
animePopularity	3106
animeDescription	The second season of Yondemasu yo, Azazel-san.
animeRelated	['Yondemasu yo, Azazel-san.', 'Yondemasu yo, Azazel-san. (TV)']
animeCharacters	['Akutabe', 'Azazel', 'Beelzebub', 'Sakuma, Rinko', 'Undine', 'Salamander', 'God', '48 Faced Freak', 'Kiyoko', 'Incubus']
animeVoices	['Namikawa, Daisuke', 'Onosaka, Masaya', 'Kamiya, Hiroshi', 'Satou, Rina', 'Kobayashi, Yuu', 'Nakai, Kazuya', 'Kosugi, Juurouta', 'Miki, Shinichiro', 'Kugimiya, Rie', 'Toyonaga, Toshiyuki']
animeStaff	[['Oogami, Yuuma', 'Producer'], ['Mizushima, Tsutomu', 'Director'], ['Wakabayashi, Kazuhiro', 'Sound Director'], ['Ibata, Yoshihide', 'Episode Director, Storyboard']]
