animeTitle	Kyuuketsuhime Miyu
animeType	OVA
animeNumEpisode	4
releaseDate	1988-07-21 00:00:00
endDate	1989-04-21 00:00:00
animeNumMembers	18391
animeScore	6.98
animeUsers	7095
animeRank	3867
animePopularity	4143
animeDescription	"A quiet gothic horror story about a vampire girl, Miyu, whose destiny it is to hunt down murderous demons known as Shinma and return them to their land of origin, the Dark. Miyu is pursued by the Spiritualist Himiko, determined to find out who Miyu is and to stop her from sucking the life blood from helpless humans. Each of the four episodes chronicle one of Miyu's encounters with a Shinma and the humans that it is affecting, from the perspective of Himiko's pursuit of Miyu. 

(Source: AniDB) "
animeRelated	['Shin Vampire Miyu', 'Kyuuketsuhime Miyu (TV)']
animeCharacters	['Yamano, Miyu', 'Larva', 'Se, Himiko', 'Yuzuki, Kei', 'Ranka']
animeVoices	['Watanabe, Naoko', 'Shiozawa, Kaneto', 'Koyama, Mami', 'Horikawa, Ryo', 'Shou, Mayumi']
animeStaff	[['Hirano, Toshiki', 'Director'], ['Yamada, Etsuji', 'Sound Director'], ['Kawai, Kenji', 'Music'], ['Tanaka, Kouhei', 'Music']]
