animeTitle	Go! Go! Ackman
animeType	OVA
animeNumEpisode	1
releaseDate	1994-07-28 00:00:00
endDate	
animeNumMembers	
animeScore	6.15
animeUsers	922
animeRank	
animePopularity	9672
animeDescription	"First released to public at 1994 V-Jump Festa, later it became a special video feature to be requested by V-Jump purchasers.

(Source: ANN)"
animeRelated	['Toriyama Akira ○-saku Gekijou']
animeCharacters	['Ackman', 'Tenshi-kun']
animeVoices	['Urawa, Megumi', 'Teppouzuka, Yoko']
animeStaff	[['Koyama, Takao', 'Script'], ['Toriyama, Akira', 'Original Creator']]
