animeTitle	Mutafukaz
animeType	Movie
animeNumEpisode	1
releaseDate	2018-10-12 00:00:00
endDate	
animeNumMembers	
animeScore	7.08
animeUsers	7304
animeRank	
animePopularity	4373
animeDescription	"After a scooter accident provoked by a mysterious woman's vision, Angelino, a deadbeat like thousands of others in Dark Meat City, starts getting violent migraines that are accompanied by strange hallucinations. Along with his good buddy Vinz, he tries to figure out what's happening to him while threatening men in black seem determined to catch him.

(Source: Annecy)"
animeRelated	[]
animeCharacters	['Angelino', 'Vinz', 'Willy', 'Luna']
animeVoices	['Kusanagi, Tsuyoshi', 'Emoto, Tokio', 'Mitsushima, Shinnosuke', 'Uesaka, Sumire']
animeStaff	[['Nishimi, Shoujirou', 'Co-Director, Storyboard, Character Design'], ['Renard, Guillaume', 'Co-Director, Script, Storyboard, Original Creator'], ['Mihara, Michio', 'Storyboard'], ['Singelin, Guillaume', 'Storyboard']]
