animeTitle	Mikan Seijin Arawaru
animeType	TV
animeNumEpisode	58
releaseDate	2016-08-26 00:00:00
endDate	2017-09-29 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14226
animeDescription	"The story centers on the titular Mikan Seijin (Orange Alien), who appears from Local 3 (an orange planet in a higher dimension) with plans of invading the Earth.

(Source: ANN)"
animeRelated	['Mikan-Seijin']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
