animeTitle	Drifters (OVA)
animeType	OVA
animeNumEpisode	2
releaseDate	2017-12-23 00:00:00
endDate	
animeNumMembers	
animeScore	7.55
animeUsers	21121
animeRank	
animePopularity	2114
animeDescription	"Despite the Ends’ attack on Verlina being successfully repelled, the war has not yet ended. With the monster armies regrouping, the Black King tightens his grasp on the already conquered territory. New conflicts erupt all across Orte, as its remaining forces struggle to retain control over long-oppressed demi-human races.

While Ends grow more potent each day, Toyohisa Shimazu remains unconscious after heavy injuries suffered during the Battle of Verlina. Facing enemies on every side, humanity’s fate is still on a knife's edge.

[Written by MAL Rewrite]"
animeRelated	['Drifters', 'Drifters: Kokuou-sama Goranshin', 'Drifters (OVA): Kokuou-sama Goranshin', 'Drifters: The Outlandish Knight']
animeCharacters	['Shimazu, Toyohisa', 'Oda, Nobunaga', 'Nasu, Yoichi Suketaka', 'Barca, Hannibal', 'Kanno, Naoshi', 'Olminu', 'Easy', 'Count Saint-Germi', 'Cassidy, Butch', 'Abe no, Haruakira']
animeVoices	['Nakamura, Yuuichi', 'Uchida, Naoya', 'Saiga, Mitsuki', 'Aoyama, Yutaka', 'Suzuki, Tatsuhisa', 'Kokido, Shiho', 'Itou, Kanae', 'Sugita, Tomokazu', 'Ono, Daisuke', 'Sakurai, Takahiro']
animeStaff	[['Hirano, Kouta', 'Original Creator'], ['Nagai, Masaru', 'Executive Producer']]
