animeTitle	Okama Hakusho
animeType	OVA
animeNumEpisode	3
releaseDate	1991-04-12 00:00:00
endDate	1992-02-06 00:00:00
animeNumMembers	606
animeScore	
animeUsers	
animeRank	12542
animePopularity	12453
animeDescription	Okama is a man who has some problems. First off, his name means 'gay' in Japanese. Next, he has the hots for himself dressed as a girl. Finally, he ends up working at a transvestite bar where he has befriended a girl named Miki. This is not an easy matter to solve, because she only knows him as his female counterpart named Catherine. So how is a guy dressed as a girl supposed to come out to a girl as a heterosexual male? To make matters worse, she has a boyfriend who is trying everything in the book to get with her. Enter the exciting world of Okama Hakusho where love comes in many different flavors!
animeRelated	['Okama Hakusho']
animeCharacters	['Amamiya, Miki']
animeVoices	['Morimura, Asuka']
animeStaff	[['Yamamoto, Hideo', 'Original Creator'], ['Morimura, Asuka', 'Inserted Song Performance']]
