animeTitle	Garakuta-doori no Stain: Epilogue
animeType	OVA
animeNumEpisode	1
releaseDate	2003-10-11 00:00:00
endDate	
animeNumMembers	389
animeScore	6.17
animeUsers	157
animeRank	7836
animePopularity	13676
animeDescription	DVD only episode.
animeRelated	['Garakuta-doori no Stain']
animeCharacters	['Stain, Mr.', 'Palvan', 'Lifa']
animeVoices	[]
animeStaff	[['Masuda, Ryuuji', 'Director'], ['HALCALI', 'Theme Song Performance'], ['Yokoyama, Akitoshi', 'Key Animation']]
