animeTitle	Otogizoushi
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.96
animeUsers	3697
animeRank	
animePopularity	4410
animeDescription	"The year is 972 A.D. in Kyoto, the capital of ancient Japan. Kyoto is becoming a corrupt and run-down city; selfish samurai and onmyoji, who care only about gaining political power are everywhere. To make matters worse the city is suffering from famine and widespread disease. Unable to ignore the condition of the city any longer, the Imperial Court decides to send Minamoto no Raiko, a famous samurai well-known for his archery skills, to recover a legendary gem said to hold mysterious power to save the world. However Raiko also falls ill to disease. Instead his youngest sister, Hikaru, decides secretely to make the journey in his place. Hikaru meets many people, and has many adventures while on her trip for the legendary gem.

(Source: ANN)"
animeRelated	['Otogizoushi']
animeCharacters	['Mansairaku', 'Minamoto, Hikaru', 'Watanabe, Tsuna', 'Usui, Sadamitsu', 'Kintaro', 'Suetake, Urabe', 'Matsumushi', 'Minamoto, Raikou', 'Kuzume']
animeVoices	['Miki, Shinichiro', 'Mizusawa, Fumie', 'Miyake, Kenta', 'Sugiyama, Ooki', 'Mizuta, Wasabi', 'Sakuma, Kumi', 'Asano, Mayumi']
animeStaff	[['Morishita, Katsuji', 'Producer'], ['Nakatake, Tetsuya', 'Producer'], ['Nishikubo, Mizuho', 'Director, Episode Director, Storyboard'], ['Yamamoto, Hideyo', 'Episode Director, Storyboard']]
