animeTitle	R-15: R15 Shounen Hyouryuuki
animeType	OVA
animeNumEpisode	1
releaseDate	2011-12-13 00:00:00
endDate	
animeNumMembers	
animeScore	6.7
animeUsers	8695
animeRank	
animePopularity	4240
animeDescription	According to Kadokawa, an OVA of R-15 will be bundled with the tenth volume of the novel.
animeRelated	['R-15']
animeCharacters	['Sonokoe, Utae', 'Narukara, Fukune', 'Akutagawa, Taketo', 'Meiki, Raika', 'Musen, Ran', 'Kagaku, Tsukuru', 'Kuroki, Kurumi', 'Enshuu, Ritsu', 'Kurabu, Katsuyo']
animeVoices	['Kashiyama, Nanami', 'Fukuhara, Yurina', 'Kitaoka, Chiharu', 'Komatsu, Mana', 'Tsumita, Kayoko', 'Tsukimiya, Midori', 'Ariga, Yui', 'Murakami, Madoka', 'Murai, Risako']
animeStaff	[['Takashima, Daisuke', 'Episode Director'], ['Hoshikawa, Takafumi', 'Storyboard'], ['Fujima, Takuya', 'Original Character Design'], ['Nishouji, Yoshihito', 'Assistant Director']]
