animeTitle	Akiba-chan
animeType	TV
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	5.26
animeUsers	873
animeRank	
animePopularity	9255
animeDescription	"Akiba-chan focuses on the daily life of Akiba-chan and four fellow TV and game fans in the Maison de Akiba apartments. Buildup Entertainment (Gundam: Mission To The Rise, Macross Plus) produced the computer animation with director Junya Kabe (Specter, D) and character designer Poyoyon Rock (Nurse Witch Komugi, Starship Girl Yamamoto Yohko). 

(Source: yukianimereviews.com)"
animeRelated	[]
animeCharacters	['Milk-chan', 'Akiba-chan', 'Otome-chan', 'Lillian-chan', 'Riki-chan']
animeVoices	['Fujita, Saki', 'Shimizu, Ai', 'Omimura, Mayuko', 'Yuzuki, Ryouka', 'Ishizuka, Sayori']
animeStaff	[['Machida, Touko', 'Script'], ['Watanabe, Akio', 'Character Design']]
