animeTitle	b'Nintama Rantarou'
animeType	b'TV'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	7.06
animeUsers	1962
animeRank	
animePopularity	
animeDescription	"b'Rantarou, Shinbei and Kirimaru are ninja apprentices in the Ninja Gakuen, where first grade ones are called ""Nintamas"" (contraction of the words ninja+tama (egg)). They must learn everything a ninja must know, but as for our heroes, money, food or playing are more interesting. The series show the everyday adventures of our heroes, segmentated in a cartoon fashion, like 2 small episodes in a 30-min show. The cast also includes the teachers (Doi-sensei and crossdressing Yamada-sensei), nintama kunoichis, evil guys (Dokutake ninjas) and even family members of all the cast...\n\n(Source: ANN)'"
animeRelated	[b'Rakudai Ninja Rantarou', b'Nintama Rantarou Movie', b'Nintama Rantarou Movie: Ninjutsu Gakuen Zenin Shutsudou! no Dan', b'Nintama Rantarou: Dokutake Onsen no Dan', b'Nintama Rantarou: Ninjutsu Gakuen to Nazo no Onna - Kore wa Jiken Da yo! no Dan', b'Nintama Rantarou: Saraba Ninjutsu Gakuen no Dan', b'Nintama Rantarou no Jishin Youjin Hi no Youjin', b'Nintama Rantarou no Shouboutai', b'Nintama Rantarou no Uchuu Daibouken with Cosmic Front\xe2\x98\x86Next']
animeCharacters	[b'Settsuno, Kirimaru', b'Fukutomi, Shinbei', b'Inadera, Rantarou', b'Zenpouji, Isaku', b'Doi, Hansuke', b'Takeya, Hachizaemon', b'Ayabe, Kihachirou', b'Nakazaike, Chouji', b'Santanda, Kazuma', b'Yamada, Rikichi']
animeVoices	[b'\nTanaka, Mayumi\nJapanese\n', b'\nIchiryuusai, Teiyuu\nJapanese\n', b'\nTakayama, Minami\nJapanese\n', b'\nOkiayu, Ryoutarou\nJapanese\n', b'\nSeki, Toshihiko\nJapanese\n', b'\nAzuma, Ryuuichi\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nShibuya, Shigeru\nJapanese\n', b'\nShimono, Hiro\nJapanese\n', b'\nYuuki, Hiro\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShibayama, Tsutomu\n\nDirector, Storyboard\n\n', b'\nOokuma, Akira\n\nSound Director\n\n', b'\nMochizuki, Tomomi\n\nEpisode Director, Script, Storyboard\n\n', b'\nSayama, Kiyoko\n\nEpisode Director, Storyboard\n\n']
