animeTitle	b'Perman'
animeType	b'TV'
animeNumEpisode	54
releaseDate	
endDate	
animeNumMembers	
animeScore	6.41
animeUsers	1588
animeRank	
animePopularity	
animeDescription	b'After Mitsuo receives a mask from a retiring superhero, he becomes Paaman.\n\n(Source: AniDB)'
animeRelated	[b'Perman', b'Perman (1983)', b'Pa-Pa-Pa the \xe2\x98\x85 Movie: Perman']
animeCharacters	[b'Suwa, Mitsuo', b'Booby', b'Birdman', b'Ouyama, Houzen', b'Paayan', b'Kabao', b'Sawada, Michiko']
animeVoices	[b'\nMiwa, Katsue\nJapanese\n', b'\nKamo, Yoshihisa\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNagahama, Tadao\n\nEpisode Director, Script\n\n', b'\nOosumi, Masaaki\n\nEpisode Director\n\n', b'\nNamie, Shima\n\nScript\n\n', b'\nAraki, Shingo\n\nStoryboard\n\n']
