animeTitle	High School! Kimengumi
animeType	TV
animeNumEpisode	86
releaseDate	1985-10-20 00:00:00
endDate	1987-10-03 00:00:00
animeNumMembers	
animeScore	7.25
animeUsers	802
animeRank	
animePopularity	8269
animeDescription	"A group of 5 male high school students that call themselves the funny-face group cause trouble at school with their crazy antics. 

(Source: AniDB)"
animeRelated	['High School! Kimengumi', 'High School! Kimengumi (Movie)']
animeCharacters	['Ichidou, Rei', 'Reietsu, Go', 'Monohoshi, Dai ', 'Kawa, Yui', 'Shusse, Kiyoshi', 'Uru, Chie', 'Daima, Jin', 'Amano, Jako', 'Ikari, Masuyo']
animeVoices	['Chiba, Shigeru', 'Shiozawa, Kaneto', 'Takahashi, Miki', 'Inoue, You', 'Katsuki, Masako']
animeStaff	[['Fukutomi, Hiroshi', 'Director'], ['Watanabe, Takashi', 'Episode Director, Animation Director'], ['Kudou, Shizuka', 'Theme Song Performance'], ['Kikuchi, Shunsuke', 'Music']]
