animeTitle	"Boku no Imouto wa ""Osaka Okan"""
animeType	TV
animeNumEpisode	12
releaseDate	2012-12-22 00:00:00
endDate	2013-03-16 00:00:00
animeNumMembers	
animeScore	5.78
animeUsers	7891
animeRank	
animePopularity	4169
animeDescription	Kyousuke's younger sister Namika has been living apart from him for ten years. One day, she returns and begins to live with him again, but she has turned into an energetic Osaka girl.
animeRelated	"['Boku no Imouto wa ""Osaka Okan"": Haishin Gentei Osaka Okan.', 'Boku no Imouto wa ""Osaka Okan"": Uchi no Oniichan wa Tokyo Rule']"
animeCharacters	['Ishihara, Namika', 'Ishihara, Kyousuke', 'Kaede']
animeVoices	['Asumi, Kana', 'Shiraishi, Ryouko', 'Iguchi, Yuka']
animeStaff	[['Ishidate, Koutarou', 'Script'], ['Asumi, Kana', 'Theme Song Performance'], ['Sugahara, Souta', 'Original Character Design'], ['Inoue, Junichi', 'Music']]
