animeTitle	b'Neko no Dayan'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Dayan the cat came to Wachi Field from the Earth through Snow magic.  Wachi Field was originally part of the Earth, but separated by Snow God because of the War between Gods and Titans, which destroyed the land.  After the war, the Earth's time flow faster than Wachi Field, which the life is slow with animals and fairies and full of mischief."""
animeRelated	[b'Neko no Dayan: Nihon e Iku']
animeCharacters	[b'Dayan', b'Ivan', b'Marcy']
animeVoices	[b'\nShimamoto, Sumi\nJapanese\n', b'\nOda, Toshimitsu\nJapanese\n', b'\nTaketatsu, Ayana\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSakuta, Hazumu\n\nDirector\n\n', b'\nKashimura, Satoshi\n\nSound Director\n\n', b'\nAdachi, Motoichi\n\nScript\n\n', b'\nAbe, Ryuudai\n\nMusic\n\n']
