animeTitle	Asa Da yo! Kaishain
animeType	TV
animeNumEpisode	744
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12210
animeDescription	"The series follows a variety of employed shellfish who exhibit selfish or odd personality traits.

(Source: LiveChart)"
animeRelated	['Cine Mileage Card x Asa Da yo! Kaishain', 'Kaishain x Sumida Suizokukan Bikkuri! Kai Matsuri CM', 'Kaishain vs. Credit Card Kachou: CreCar no Rule Shitteru kai?', 'Kaishain! Nourin Suisan-shou e Iku', 'Deluxe Da yo! Kaishain']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
