animeTitle	InuYasha Movie 3: Tenka Hadou no Ken
animeType	Movie
animeNumEpisode	1
releaseDate	2003-12-20 00:00:00
endDate	
animeNumMembers	88519
animeScore	7.8
animeUsers	47734
animeRank	861
animePopularity	1775
animeDescription	"Izayoi and Inu no Taishou, Inuyasha's parents, are having problems with a human named Setsuna no Takemaru. Sou'unga a magical sword that has been sealed away for 700 years is found. Now everyone is after the sword and its powers but it seems the sword has something else in mind.

(Source: ANN)
"
animeRelated	['InuYasha']
animeCharacters	['Inuyasha', 'Sesshoumaru', 'Higurashi, Kagome', 'Takemaru ', 'Sango', 'Miroku', 'Shippou', 'Rin', 'Kirara', 'Jaken']
animeVoices	['Yamaguchi, Kappei', 'Narita, Ken', 'Yukino, Satsuki', 'Kuwashima, Houko', 'Tsujitani, Kouji', 'Watanabe, Kumiko', 'Noto, Mamiko', 'Cho']
animeStaff	[['Ueda, Masuo', 'Producer, Planning'], ['Shinohara, Toshiya', 'Director'], ['Tsuruoka, Youta', 'Sound Director'], ['Takagi, Shigeki', 'Episode Director']]
