animeTitle	b'Shinsekai yori'
animeType	b'TV'
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	8.32
animeUsers	237083
animeRank	
animePopularity	
animeDescription	b'In the town of Kamisu 66, 12-year-old Saki Watanabe has just awakened to her psychic powers and is relieved to rejoin her friends\xe2\x80\x94the mischievous Satoru Asahina, the shy Mamoru Itou, the cheerful Maria Akizuki, and Shun Aonuma, a mysterious boy whom Saki admires\xe2\x80\x94at Sage Academy, a special school for psychics. However, unease looms as Saki begins to question the fate of those unable to awaken to their powers, and the children begin to get involved with secretive matters such as the rumored Tainted Cats said to abduct children.\n\nShinsekai yori tells the unique coming-of-age story of Saki and her friends as they journey to grow into their roles in the supposed utopia. Accepting these roles, however, might not come easy when faced with the dark and shocking truths of society, and the impending havoc born from the new world.\n\n[Written by MAL Rewrite]'
animeRelated	[b'Shinsekai yori']
animeCharacters	[b'Watanabe, Saki', b'Akizuki, Maria', b'Aonuma, Shun', b'Asahina, Satoru', b'Itou, Mamoru', b'Squealer', b'Kiroumaru', b'Asahina, Tomiko', b'Kaburagi, Shisei', b'Akki']
animeVoices	[b'\nEndou, Aya\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nToudou, Mai\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nKudou, Haruka\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nHirata, Hiroaki\nJapanese\n', b'\nSakakibara, Yoshiko\nJapanese\n', b'\nHoshino, Takanori\nJapanese\n', b'\nYajima, Akiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOchikoshi, Tomonori\n\nProducer\n\n', b'\nIshihama, Masashi\n\nDirector, Episode Director, Storyboard, Animation Director\n\n', b'\nMotoyama, Satoshi\n\nSound Director\n\n', b'\nYaginuma, Kazuyoshi\n\nEpisode Director, Storyboard\n\n']
