animeTitle	b'Drifters: Special Edition'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.68
animeUsers	14100
animeRank	
animePopularity	
animeDescription	b'Bundled with the fifth manga volume.'
animeRelated	[b'Drifters']
animeCharacters	[b'Shimazu, Toyohisa', b'Oda, Nobunaga', b'Nasu, Yoichi Suketaka', b'Olminu', b'Easy', b'Abe no, Haruakira', b'The Black King', b'Murasaki', b'Shara', b'Aram']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nUeda, Yasuyuki\n\nProducer\n\n', b'\nHirano, Kouta\n\nOriginal Creator\n\n', b'\nKawabata, Erkin\n\nKey Animation, In-Between Animation\n\n']
