animeTitle	Motto Shitte Fukushima!
animeType	ONA
animeNumEpisode	Unknown
releaseDate	2019-02-18 00:00:00
endDate	
animeNumMembers	88
animeScore	
animeUsers	
animeRank	12166
animePopularity	17925
animeDescription	Tourism promotional videos for the Fukushima Prefecture. It features an Akabeko (a legendary red cow from the Aizu region, and mascot of the Fukushima Prefecture) spouting a 6-second fact about the area in a pun-rhyming-poem style. At the start of every year new batches of episodes are released on the official YouTube channel of Fukushima Prefecture. In 2019, 25 eps were released and for 2020, 59 eps were released.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
